ability,Capacité
unfortunately,malheureusement
unhappy,triste / mécontent
uniform,uniforme
unit,unité
united,uni
unusual,inhabituel
upstairs,à l’étage / en haut
use,utiliser
used to,avait l’habitude de
user,utilisateur / utilisatrice
usual,habituel / ordinaire
,
valley,vallée
van,camionnette
variety,variété
vehicle,véhicule
view,vue / opinion
virus,virus
voice,voix
,
wait,attendre
war,guerre
wash,laver
washing,lessive / lavage
wave,vague / faire signe
weak,faible
web,toile / internet
wedding,mariage (cérémonie)
weight,poids
welcome,bienvenue / accueillir
wet,mouillé / humide
wheel,roue
while,tandis que / pendant que
whole,entier / tout
whose,à qui / dont
wide,large
wild,sauvage
wind,vent
winner,gagnant / gagnante
wish,souhait / souhaiter
wood,bois
wooden,en bois
working,en train de travailler / qui fonctionne
worried,inquiet / inquiète
worry,s’inquiéter / inquiétude
worse,pire
worst,le pire
wow,waouh / ouah
,
yet,encore / pourtant
yours,le tien / la tienne / les vôtres
zero,zéro
