absolutely,absolument
frame,cadre
freeze,geler
frequently,fréquemment
friendship,amitié
frighten,effrayer
frightened,effrayé
frightening,effrayant
frozen,gelé
fry,frire
fuel,carburant / combustible
function,fonction / fonctionner
fur,fourrure
further,plus loin / supplémentaire
garage,garage
gather,rassembler / réunir
generally,généralement
generation,génération
generous,généreux / généreuse
gentle,doux / gentil
gentleman,gentilhomme / monsieur
ghost,fantôme
giant,géant
glad,content / heureux
global,mondial / global
glove,gant
go,aller
goods,marchandises / biens
grade,note / niveau
graduate,diplômé / obtenir un diplôme
grain,grain / céréale
grateful,reconnaissant
growth,croissance / développement
guard,garde / protéger
guilty,coupable
hand,main
hang,pendre / suspendre
happiness,bonheur
hardly,à peine
hate,détester / haine
head,tête / diriger
headline,gros titre
heating,chauffage
heavily,lourdement / fortement
helicopter,hélicoptère
highlight,surligner / moment fort
highly,hautement
hire,embaucher / louer
historic,historique (important)
historical,historique (lié à l'histoire)
honest,honnête
horrible,horrible
horror,horreur
host,hôte / présenter
hunt,chasser / chasse
hurricane,ouragan
hurry,se dépêcher / précipitation
,
identity,identité
ignore,ignorer
illegal,illégal
imaginary,imaginaire
immediate,immédiat
immigrant,immigré / immigrant
impact,impact / effet
import,importer / importation
importance,importance
impression,impression
impressive,impressionnant
improvement,amélioration
incredibly,incroyablement
indeed,en effet / vraiment
indicate,indiquer
indirect,indirect
indoor,intérieur
indoors,à l'intérieur
influence,influence / influencer
ingredient,ingrédient
injure,blesser
injured,blessé
innocent,innocent
intelligence,intelligence
intend,avoir l’intention de
intention,intention
invest,investir
investigate,enquêter
involved,impliqué
iron,fer / repasser
issue,problème / sujet / émettre
IT,informatique
,
journal,journal / revue spécialisée
judge,juge / juger
,
keen,enthousiaste / passionné
key,clé / principal
keyboard,clavier
kick,donner un coup de pied
killing,meurtre
kind (caring),gentil / bienveillant
kiss,embrasser / baiser
knock,frapper / coup
,
label,étiquette / étiqueter
laboratory,laboratoire
lack,manque / manquer de
latest,dernier / le plus récent
lay,poser / étendre
layer,couche
lead,mener / diriger
leading,principal / de premier plan
leaf,feuille
leather,cuir
legal,légal
leisure,loisir
length,longueur
level,niveau
lie (tell a lie),mentir
limit,limite / limiter
lip,lèvre
liquid,liquide
literature,littérature
live,vivre / en direct
living,vivant / mode de vie
local,local
locate,localiser
located,situé
location,emplacement / lieu
lonely,seul / solitaire
loss,perte
luxury,luxe
,
mad,fou / en colère
magic,magie / magique
mainly,principalement
mall,centre commercial
management,gestion
market,marché
marketing,marketing
marriage,mariage
meanwhile,pendant ce temps
measure,mesurer / mesure
medium,moyen / intermédiaire
mental,mental
mention,mentionner
mess,désordre / bazar
mild,doux / léger
mine (hole),mine
mix,mélanger
mixture,mélange
mood,humeur
move,bouger / déménager
mud,boue
murder,meurtre / assassiner
muscle,muscle
musical,musical / comédie musicale
mystery,mystère
nail,ongle / clou
narrative,récit
nation,nation
native,natif / autochtone
naturally,naturellement
necessarily,nécessairement
need,besoin / avoir besoin
needle,aiguille
neighbourhood,quartier
neither,aucun des deux / ni...ni...
net,filet / net
next,suivant / prochain
nor,ni
normal,normal
northern,du nord / septentrional
note,note / remarquer
nuclear,nucléaire
obvious,évident
obviously,évidemment
occasion,occasion / événement
occur,se produire / arriver
odd,bizarre / impair
official,officiel / fonctionnaire
old-fashioned,démodé
once,une fois / autrefois
operation,opération
organised,organisé
organiser,organisateur / organiser
original,original / d'origine
originally,à l'origine
ought,devrait
ours,le nôtre / la nôtre
outdoor,extérieur
outdoors,en plein air
pack,emballer / paquet
package,colis / emballage / forfait
painful,douloureux
pale,pâle
pan,poêle / casserole
participate,participer
particularly,particulièrement
pass,passer / réussite
passion,passion
path,chemin / sentier
payment,paiement
peaceful,paisible
percentage,pourcentage
perfectly,parfaitement
performance,performance / représentation
personally,personnellement
persuade,persuader
photographer,photographe
photography,photographie
pin,épingle / punaise
pipe,tuyau / pipe
place,endroit / placer
planning,planification
pleasant,agréable
pleasure,plaisir
plenty,beaucoup / abondance
plot,intrigue / complot / parcelle
plus,plus / en plus
poem,poème
poet,poète
poetry,poésie
point,point / faire remarquer
poison,poison / empoisonner
poisonous,toxique / vénéneux
policy,politique / règle
political,politique
politician,homme / femme politique
politics,politique (le domaine)
port,port
portrait,portrait
possibly,peut-être / possiblement
pot,pot / casserole
pour,verser
poverty,pauvreté
powder,poudre
powerful,puissant
practical,pratique
pray,prier
prayer,prière
prediction,prédiction / prévision
prepared,préparé / prêt
presentation,présentation
press,appuyer / presse
pressure,pression
pretend,faire semblant
previous,précédent
previously,précédemment
priest,prêtre
primary,primaire / principal
prince,prince
princess,princesse
printing,impression
prisoner,prisonnier / prisonnière
private,privé
producer,producteur / productrice
production,production
profession,profession / métier
profit,profit / bénéfice
programme,programme
promote,promouvoir
proper,approprié / correct
properly,correctement
property,propriété / bien
protest,protester / protestation
proud,fier / fière
prove,prouver
pull,tirer
punish,punir
punishment,punition
push,pousser
qualification,qualification
qualified,qualifié
qualify,se qualifier / remplir les conditions
queue,file d’attente
quit,quitter / arrêter
quotation,citation / devis
quote,citer
race (people),race (ethnie)
racing,course
range,gamme / intervalle
rare,rare
rarely,rarement
reaction,réaction
reality,réalité
receipt,reçu
recommendation,recommandation
reference,référence
reflect,refléter / réfléchir
regularly,régulièrement
reject,rejeter
relate,relier / raconter
related,lié / apparenté
relation,relation / lien
relative,parent / relatif
relaxed,détendu
relaxing,relaxant
release,libérer / sortie
reliable,fiable
religion,religion
religious,religieux / religieuse
remain,rester
remind,rappeler
remote,éloigné / télécommande
rent,louer / loyer
repair,réparer / réparation
repeat,répéter
repeated,répété
represent,représenter
request,demander / requête
require,exiger / nécessiter
reservation,réservation
resource,ressource
respect,respect / respecter
responsibility,responsabilité
responsible,responsable
result,résultat
retire,prendre sa retraite
retired,retraité
revise,réviser
ring,sonner / anneau / bague
rise,se lever / augmentation
risk,risque / risquer
robot,robot
roll,rouler / rouleau
romantic,romantique
rope,corde
rough,rugueux / approximatif
row,rangée / ramer / dispute
royal,royal
rugby,rugby
rule,règle / diriger
safety,sécurité
sail,naviguer / voile
sailor,marin
sample,échantillon
sand,sable
scan,scanner / balayage
scientific,scientifique
script,script / scénario
sculpture,sculpture
secondary,secondaire
security,sécurité
seed,graine
sensible,raisonnable
separate,séparer / séparé
seriously,sérieusement
servant,serviteur / domestique
set (put),mettre / poser
set (group),ensemble / série
setting,cadre / réglage / décor
sex,sexe
sexual,sexuel
shake,secouer
share,partager / part
sharp,tranchant / vif
shelf,étagère
shell,coquille / obus
shift,changement / poste
shine,briller / éclat
shiny,brillant
shoot,"tirer / tirer (photo, arme)"
shy,timide
sight,vue / spectacle
signal,signal / faire signe
silent,silencieux
silly,bête / ridicule
similarity,similitude
similarly,de manière similaire
simply,simplement
since,depuis / puisque
sink,évier / couler
slice,tranche / découper
slightly,légèrement
slow,lent
smart,intelligent / élégant
smooth,lisse / doux
software,logiciel
soil,sol / terre
solid,solide
sort,trier / sorte / type
southern,du sud
specifically,spécifiquement
spending,dépenses
spicy,épicé
spirit,esprit
spoken,oral / parlé
spot,tache / endroit / repérer
spread,étaler / se répandre
spring,printemps / ressort
stadium,stade
staff,personnel
standard,standard / norme
state,état / déclarer
statistic,statistique
statue,statue
stick (attach),coller / bâton
stick (piece of wood),bâton / brindille
still,encore / toujours / immobile
store,magasin / stocker
stranger,inconnu
strength,force
string,ficelle / corde
strongly,fortement
studio,studio
stuff,truc / affaire / chose
substance,substance
successfully,avec succès
sudden,soudain
suffer,souffrir
suit,costume / convenir
suitable,approprié / convenable
summarise,résumer
summary,résumé
supply,fournir / approvisionnement
supporter,supporter / partisan
surely,sûrement
surface,surface
survive,survivre
swim,nager
switch,interrupteur / changer
symptom,symptôme
tail,queue
talent,talent
talented,talentueux
tape,ruban / bande / enregistrer
tax,impôt / taxe
technical,technique
technique,technique / méthode
tend,avoir tendance à
tent,tente
that,que / ce / cela
theirs,le leur / la leur
theme,thème
theory,théorie
therefore,donc / par conséquent
this,ce / cette
though,bien que / pourtant
throat,gorge
throughout,partout / tout au long de
tight,serré
till,jusqu’à / caisse
tin,boîte de conserve / étain
tiny,minuscule
tip,astuce / pourboire / bout
toe,orteil
tongue,langue
total,total / complet
totally,totalement
touch,toucher
tour,visite / tournée
trade,commerce / échanger
translate,traduire
translation,traduction
transport,transport
treat,traiter / gâterie
treatment,traitement
trend,tendance
trick,tour / astuce
truth,vérité
tube,tube / métro (UK)
type,type / taper
typically,typiquement
tyre,pneu
ugly,laid
unable,incapable
uncomfortable,inconfortable
underwear,sous-vêtements
unemployed,au chômage
unemployment,chômage
unfair,injuste
union,union / syndicat
unless,à moins que
unlike,différent de / contrairement à
unlikely,improbable
unnecessary,inutile / superflu
unpleasant,désagréable
update,mettre à jour / mise à jour
upon,sur / dès que
upset,bouleversé / contrarié
used,utilisé / habitué à
valuable,précieux / de valeur
value,valeur
various,divers / varié
version,version
victim,victime
view,vue / point de vue
viewer,spectateur / téléspectateur
violent,violent
volunteer,bénévole / se porter volontaire
vote,vote / voter
warm,chaud / chaleureux
warn,avertir
warning,avertissement
waste,gaspiller / déchets
water,eau / arroser
wave,vague / faire signe
weapon,arme
weigh,peser
western,occidental / de l’ouest
whatever,peu importe / quoi que
whenever,chaque fois que
whether,si / que... ou non
while,pendant que / bien que
whole,entier
will,volonté / auxiliaire du futur
win,gagner
wing,aile
within,à l’intérieur de / dans un délai de
wonder,se demander / merveille
wool,laine
worldwide,dans le monde entier
worry,s’inquiéter / inquiétude
worse,pire
worst,le pire
worth,valoir / valeur de
written,écrit
wrong,faux / mal
yard,jardin / cour (US)
young,jeune
youth,jeunesse
