a/an,un/une
die,mourir
diet,régime différence
different,différent
difficult,difficile
dinner,dîner
dirty,sale
discuss,discuter
dish,plat
do,faire
doctor,médecin
dog,chien
dollar,dollar
door,porte
down,en bas
downstairs,en bas
draw,dessiner
dress,robe
drink,boire
drive,conduire
driver,chauffeur
during,pendant
DVD,DVD
each,chaque
ear,oreille
early,tôt
east,est
easy,facile
eat,manger
egg,œuf
eight,huit
eighteen,dix-huit
eighty,quatre-vingts
elephant,éléphant
eleven,onze
else,autre
email,e-mail
end,fin
enjoy,profiter
enough,assez
euro,euro même
evening,soirée
event,événement
ever,jamais
every,chaque
everybody,tout le monde
everyone,tout le monde
everything,tout
exam,examen
example,exemple
excited,excité
exciting,excitant
exercise,exercice
expensive,cher
explain,expliquer
extra,supplémentaire
eye,œil
face,visage
fact,fait
fall,chute
"""FALSE""",« faux »
family,famille
famous,célèbre
fantastic,fantastique
far,loin
farm,ferme
farmer,agriculteur
fast,rapide
fat,gros
father,père
favourite,favori
February,février
feel,sentiment
feeling,sentiment
festival,festival
few,peu
fifteen,quinze
fifth,cinquième
fifty,cinquante
fill,remplir
film,film
final,final
find,trouver
fine,bien
finish,finir
fire,feu
first,premier
fish,poisson
five,cinq
flat,plat
flight,vol
floor,sol
flower,fleur
fly,voler
follow,suivre
food,nourriture
foot,pied
football,football
for,pour
forget,oublier
form,forme
forty,quarante
four,quatre
fourteen,quatorze
fourth,quatrième
free,libre
Friday,vendredi
friend,ami
friendly,amical
from,de
front,devant
fruit,fruit
full,plein
fun,amusant
funny,drôle
future,futur
game,Jeu
garden,Jardin
geography,Géographie
get,Obtenir
girl,Fille
girlfriend,Petite amie
give,Donner
glass,Verre
go,Partir
goodbye,Au revoir
grandfather,Grand-père
grandmother,Grand-mère
grandparent,Grand-parent
great,Arrière-plan
green,Vert
grey,Gris
group,Groupe
grow,Grandir
guess,Deviner
guitar,Guitare
gym,Gym
hair,cheveux
half,moitié
hand,main
happen,se passer
happy,heureux / heureuse
hard,difficile / dur
hat,chapeau
hate,détester
have,avoir
have to,devoir
he,il
head,tête
health,santé
healthy,en bonne santé / sain
hear,entendre
hello,bonjour
help,aider / aide
her,elle / la sienne
here,ici
hey,salut
hi,salut
high,haut / élevé
him,lui
his,son / le sien
history,histoire
hobby,passe-temps
holiday,vacances
home,maison / chez soi
homework,devoirs
hope,espérer / espoir
horse,cheval
hospital,hôpital
hot,chaud
hotel,hôtel
hour,heure
house,maison
how,comment
however,cependant / pourtant
hundred,cent
hungry,faim (avoir faim)
husband,mari
I,je
ice,glace
ice cream,crème glacée / glace
idea,idée
if,si
imagine,imaginer
important,important
improve,améliorer
in,dans / en
include,inclure
information,information
interest,intérêt
interested,intéressé
interesting,intéressant
internet,internet
interview,entretien / interview
into,dans / en (mouvement)
introduce,présenter / introduire
island,île
it,il / elle (neutre)
its,son / sa (neutre)
jacket,veste
January,janvier
jeans,jean / pantalon en jean
job,travail / emploi
join,joindre / rejoindre
journey,voyage / trajet
juice,jus
July,juillet
June,juin
just,juste / seulement / venir de
keep,garder
key,clé
kilometre,kilomètre
kind (type),type / sorte
kitchen,cuisine
know,savoir / connaître
land,terre
language,langue
large,grand
last (final),dernier
late,en retard / tard
later,plus tard
laugh,rire
learn,apprendre
leave,quitter / partir
left,gauche / laissé
leg,jambe
lesson,leçon
let,laisser
letter,lettre
library,bibliothèque
lie,s'allonger / mentir (selon le contexte)
life,vie
light (from the sun/a lamp),lumière
like (similar),semblable / similaire à
like (find sb/sth pleasant),aimer / apprécier
line,ligne
lion,lion
list,liste
listen,écouter
little,petit / peu
live,vivre
local,local
long,long / longue
look,regarder
lose,perdre
lot,beaucoup
love,aimer / amour
lunch,déjeuner
machine,machine
magazine,magazine / revue
main,principal
make,faire / fabriquer
man,homme
many,beaucoup de
map,carte
March,mars
market,marché
married,marié
match (contest),match / compétition
May,mai
maybe,peut-être
me,moi
meal,repas
mean,signifier / vouloir dire
meaning,sens / signification
meat,viande
meet,rencontrer
meeting,réunion / rencontre
member,membre
menu,menu
message,message
metre,mètre
midnight,minuit
mile,"mille (1,6 km)"
milk,lait
million,million
minute,minute
miss,manquer / rater
mistake,erreur
model,modèle
modern,moderne
moment,moment
Monday,lundi
money,argent
month,mois
more,plus
morning,matinee / matin
most,la plupart / le plus
mother,mère
mountain,montagne
mouse,souris
mouth,bouche
move,bouger / déménager
movie,film
much,beaucoup
mum,maman
museum,musée
music,musique
must,devoir / il faut
my,mon / ma / mes
name,nom
natural,naturel
near,près
need,avoir besoin de
negative,négatif
neighbour,voisin / voisine
never,jamais
new,nouveau / nouvelle
news,nouvelles / informations
newspaper,journal
next,prochain / suivant
next to,à côté de
nice,sympa / agréable
night,nuit
nine,neuf
nineteen,dix-neuf
ninety,quatre-vingt-dix
no,non
no one,personne
nobody,personne
north,nord
nose,nez
not,ne... pas
note,note / message
nothing,rien
November,novembre
now,maintenant
number,numéro / nombre
nurse,infirmier / infirmière
object,objet
o'clock,... heure(s)
October,octobre
of,de
off,éteint / en dehors de
office,bureau
often,souvent
oh,oh
OK,d'accord
old,vieux / vieille
on,sur / allumé
once,une fois
one,un / une
onion,oignon
online,en ligne
only,seulement / seul
open,ouvrir / ouvert
opinion,opinion / avis
opposite,en face / opposé
or,ou
orange,orange (fruit ou couleur)
order,commander / ordre
other,autre
our,notre / nos
out,dehors
outside,à l'extérieur
over,par-dessus / fini
own,propre / posséder
page,page
paint,peindre / peinture
painting,peinture (œuvre)
pair,paire
paper,papier
paragraph,paragraphe
parent,parent
park,parc
part,partie
partner,partenaire
party,fête / parti (politique)
passport,passeport
past,passé
pay,payer
pen,stylo
pencil,crayon
people,gens / personnes
pepper,poivre / poivron
perfect,parfait
period,période / point (en ponctuation)
person,personne
personal,personnel
phone,téléphone
photo,photo
photograph,photographie
phrase,phrase (courte expression)
piano,piano
picture,image / photo / tableau
piece,morceau / pièce
pig,cochon
pink,rose
place,endroit / lieu
plan,plan / projet
plane,avion
plant,plante / planter
play,jouer / pièce de théâtre
player,joueur / lectrice (appareil)
please,s'il te plaît / s'il vous plaît
point,point / indiquer
police,la police
policeman,policier
pool,piscine
poor,pauvre
popular,populaire
positive,positif
possible,possible
post,poster / poste (courrier)
potato,pomme de terre
pound,livre (monnaie ou poids)
practice,pratique / entraînement
practise,s'exercer / pratiquer
prefer,préférer
prepare,préparer
present,cadeau / présent(er)
pretty,joli / plutôt
price,prix
probably,probablement
problem,problème
product,produit
programme,programme
project,projet
purple,violet
put,mettre
quarter,quart
question,question
quick,rapide
quickly,rapidement
quiet,calme / silencieux
quite,assez / plutôt
radio,radio
rain,pluie
read,lire
reader,lecteur / lectrice
reading,lecture
ready,prêt / prête
real,réel / véritable
really,vraiment
reason,raison
red,rouge
relax,se détendre
remember,se souvenir
repeat,répéter
report,rapport / compte rendu
restaurant,restaurant
result,résultat
return,revenir / retour
rice,riz
rich,riche
ride,"faire un tour / monter (à vélo, cheval…)"
right,droit / juste / correct
river,rivière / fleuve
road,route
room,chambre / pièce
routine,routine
rule,règle
run,courir
sad,triste
salad,salade
salt,sel
same,même
sandwich,sandwich
Saturday,samedi
say,dire
school,école
science,science
scientist,scientifique
sea,mer
second,seconde / deuxième
section,section / partie
see,voir
sell,vendre
send,envoyer
sentence,phrase
September,septembre
seven,sept
seventeen,dix-sept
seventy,soixante-dix
share,partager
she,elle
sheep,mouton
shirt,chemise
shoe,chaussure
shop,magasin
shopping,courses / shopping
short,court / petit
should,devrait
show,montrer / spectacle
shower,douche
sick,malade
similar,similaire / semblable
sing,chanter
singer,chanteur / chanteuse
sister,sœur
sit,s’asseoir
situation,situation
six,six
sixteen,seize
sixty,soixante
skill,compétence
skirt,jupe
sleep,dormir
slow,lent
small,petit
snake,serpent
snow,neige
so,alors / donc / tellement
some,quelques / du / de la
somebody,quelqu’un
someone,quelqu’un
something,quelque chose
sometimes,parfois
son,fils
song,chanson
soon,bientôt
sorry,désolé
sound,son / sembler
soup,soupe
south,sud
space,espace
speak,parler
special,spécial
spell,épeler
spelling,orthographe
spend,dépenser / passer (du temps)
sport,sport
spring,printemps / ressort
stand,se lever / être debout
star,étoile
start,commencer / début
statement,déclaration
station,station / gare
stay,rester / séjour
still,toujours / encore / immobile
stop,arrêter / arrêt
story,histoire / récit
street,rue
strong,fort
student,étudiant / élève
study,étudier / étude
style,style
subject,matière / sujet
success,succès
sugar,sucre
summer,été
sun,soleil
Sunday,dimanche
supermarket,supermarché
sure,sûr / certaine
sweater,pull
swim,nager
swimming,natation / baignade
table,table
take,prendre
talk,parler
tall,grand (pour une personne)
taxi,taxi
tea,thé
teach,enseigner
teacher,enseignant / professeur
team,équipe
teenager,adolescent / adolescente
telephone,téléphone
television,télévision
tell,raconter / dire
ten,dix
tennis,tennis
terrible,terrible / horrible
test,test / épreuve
text,texte / message
than,que (comparaison)
thank,remercier
thanks,merci
that,cela / que / ce…-là
the,le / la / les
theatre,théâtre
their,leur / leurs
them,eux / elles
then,ensuite / alors
there,là / là-bas
they,ils / elles
thing,chose
think,penser
third,troisième
thirsty,soif (avoir soif)
thirteen,treize
thirty,trente
this,celui-ci / cette / ce
thousand,mille
three,trois
through,par / à travers
Thursday,jeudi
ticket,billet / ticket
time,temps / heure
tired,fatigué
title,titre
to,à / pour
today,aujourd’hui
together,ensemble
toilet,toilettes
tomato,tomate
tomorrow,demain
tonight,ce soir
too,trop / aussi
tooth,dent
topic,sujet / thème
tourist,touriste
town,ville
traffic,la circulation
train,train
travel,voyager
tree,arbre
trip,voyage / excursion
trousers,pantalon
TRUE,vrai
try,essayer
T-shirt,T-shirt
Tuesday,mardi
turn,tourner / tour
TV,télévision
twelve,douze
twenty,vingt
twice,deux fois
two,deux
type,type / genre
umbrella,parapluie
uncle,oncle
under,sous
understand,comprendre
university,université
until,jusqu’à
up,en haut
upstairs,à l’étage / en haut
us,nous
use,utiliser
useful,utile
usually,en général / habituellement
vacation,vacances
vegetable,légume
very,très
video,vidéo
village,village
visit,visiter / visite
visitor,visiteur / visiteuse
wait,attendre
waiter,serveur
wake,se réveiller
walk,marcher / promenade
wall,mur
want,vouloir
warm,chaud / réchauffer
wash,laver
watch,regarder / montre
water,eau
way,chemin / manière
we,nous
wear,porter (vêtements)
weather,temps (météo)
website,site web
Wednesday,mercredi
week,semaine
weekend,week-end
welcome,bienvenue / accueillir
well,bien
west,ouest
what,quoi / que / quel
when,quand
where,où
which,lequel / laquelle
white,blanc
who,qui
why,pourquoi
wife,femme / épouse
will,verbe auxiliaire du futur (ex : je ferai)
win,gagner
window,fenêtre
wine,vin
winter,hiver
with,avec
without,sans
woman,femme
wonderful,merveilleux / formidable
word,mot
work,travailler / travail
worker,travailleur / travailleuse
world,monde
would,auxiliaire du conditionnel (ex : je ferais)
write,écrire
writer,écrivain / écrivain(e)
writing,écriture / rédaction
wrong,faux / incorrect / mal
yeah,ouais
year,année
yellow,jaune
yes,oui
yesterday,hier
you,tu / vous
young,jeune
your,ton / ta / tes / votre / vos
yourself,toi-même / vous-même
